************* SEEDLIST ****************

AajTak India              - http://aajtak.intoday.in/
Dainik Bhaskar            - http://www.bhaskar.com/
Dainik Jagran             - http://www.jagran.com/
Amar Ujala                - http://www.amarujala.com/
Business Standard Hindi   - http://hindi.business-standard.com/
Navbharat Times           - http://navbharattimes.indiatimes.com/
Rajasthan Patrika         - http://rajasthanpatrika.patrika.com/
Deshbandhu                - http://www.deshbandhu.co.in/
Punjab Kesari             - http://www.punjabkesari.in/
Prabhat Khabar            - http://www.prabhatkhabar.com/
Patrika                   - http://www.patrika.com/
Economic Times Hindi      - http://hindi.economictimes.indiatimes.com/
Divya Himachal            - http://www.divyahimachal.com/
Zee News                  - http://zeenews.india.com/hindi
Abpnews	                  - http://abpnews.abplive.in/
Khabar NDTV	              - https://khabar.ndtv.com/
News18 Hindi              - http://hindi.news18.com/
BBC hindi                 - http://www.bbc.com/hindi
