************* SEEDLIST ****************

AajTak India              - http://aajtak.intoday.in/
Dainik Jagran             - http://www.jagran.com/
Navbharat Times           - http://navbharattimes.indiatimes.com/
Rajasthan Patrika         - http://rajasthanpatrika.patrika.com/
Deshbandhu                - http://www.deshbandhu.co.in/
Punjab Kesari             - http://www.punjabkesari.in/
Patrika                   - http://www.patrika.com/
Zee News                  - http://zeenews.india.com/hindi
Abpnews                   - http://abpnews.abplive.in/
Khabar NDTV               - https://khabar.ndtv.com/
News18 Hindi              - http://hindi.news18.com/
BBC hindi                 - http://www.bbc.com/hindi
